,Predator,Prey
997,Pufferfish            ,Omnivorous crustacea II                      
998,Pufferfish            ,Omnivorous crustacea III                     
999,Pufferfish            ,Carnivorous crustacea I                      
1000,Pufferfish            ,Carnivorous crustacea II                     
1001,Pufferfish            ,Omnivorous crustacea IV                      
1002,Pufferfish            ,Herbivorous crustacea IV                     
1003,Pufferfish            ,Herbivorous crustacea V                      
1004,Pufferfish            ,Herbivorous crustacea VI                     
1005,Pufferfish            ,Omnivorous crustacea V
1006,Pufferfish            ,Carnivorous crustacea III                    
1007,Pufferfish            ,Omnivorous crustacea VI                      
1008,Pufferfish            ,Amphiroa crustacea I  
1009,Pufferfish            ,Amphiroa crustacea II 
1010,Pufferfish            ,Omnivorous crustacea VII                     
1011,Pufferfish            ,Omnivorous crustacea VIII                    
1012,Pufferfish            ,Omnivorous crustacea IX                      
1013,Pufferfish            ,Omnivorous crustacea X
1014,Pufferfish            ,Omnivorous crustacea XI                      
1015,Pufferfish            ,Carnivorous crustacea IV                     
1016,Pufferfish            ,Molluscivorous crustacea II                  
1017,Filefish              ,Filamentous macroalgae
1018,Filefish              ,Sheet macroalgae      
1019,Filefish              ,Coarsely branched macroalgae                 
1020,Filefish              ,Jointed calcareous macroalgae                
1021,Filefish              ,Thick leathery macroalgae                    
1022,Filefish              ,Seagrasses            
1023,Filefish              ,Herbivorous micro-zooplankton                
1024,Filefish              ,Omnivorous micro-zooplankton                 
1025,Filefish              ,Carnivorous micro-zooplankton                
1026,Filefish              ,Carnivorous micro-zooplankton                
1027,Filefish              ,Macroplanktonic carnivores I                 
1028,Filefish              ,Large omnivorous micro-zooplankton           
1029,Filefish              ,Large omnivorous micro-zooplankton           
1030,Filefish              ,Large carnivorous micro-zooplankton          
1031,Filefish              ,Spongivorous nudibranchs                     
1032,Filefish              ,Omnivorous gastropod  
1033,Filefish              ,Herbivorous gastropods I                     
1034,Filefish              ,Herbivorous gastropods II                    
1035,Filefish              ,Herbivorous gastropods III                   
1036,Filefish              ,Herbivorous gastropods IV                    
1037,Filefish              ,Corallivorous gastropods IV                  
1038,Filefish              ,Epifaunal bivalve carnivores I               
1039,Filefish              ,Sponge-anemone carnivores I                  
1040,Filefish              ,Epifaunal bivalve carnivores II              
1041,Filefish              ,Detritivorous gastropods I                   
1042,Filefish              ,Epiphyte grazer I     
1043,Filefish              ,Echinoid carnivores I 
1044,Filefish              ,Epifaunal attached hard substrate   
1045,Filefish              ,Epifaunal free hard substrate       
1046,Filefish              ,Shallow infaunal deposit feeders I           
1047,Filefish              ,Deep infaunal soft substrate         
1048,Filefish              ,Shallow infaunal suspension feeders          
1049,Filefish              ,Shallow infaunal soft substrate           
1050,Filefish              ,Epifaunal attached hard substrate   
1051,Filefish              ,Epifaunal attached soft substrate   
1052,Filefish              ,Epifaunal free hard substrate       
1053,Filefish              ,Infaunal hard substrate            
1054,Filefish              ,Epifaunal free soft substrate       
1055,Filefish              ,Corallivorous polychaetes                    
1056,Filefish              ,Deposit feeders II    
1057,Filefish              ,Endolithic polychaetes
1058,Filefish              ,Omnivorous crustacea VIII                    
1059,Filefish              ,Omnivorous crustacea XI                      
1060,Filefish              ,Cleaner crustacea I   
1061,Filefish              ,Omnivorous crustacea IX                      
1062,Filefish              ,Omnivorous crustacea XI                      
1063,Goby                  ,Filamentous macroalgae
1064,Goby                  ,Sheet macroalgae      
1065,Goby                  ,Coarsely branched macroalgae                 
1066,Goby                  ,Jointed calcareous macroalgae                
1067,Goby                  ,Thick leathery macroalgae                    
1068,Goby                  ,Seagrasses            
1069,Goby                  ,Herbivorous micro-zooplankton                
1070,Goby                  ,Omnivorous micro-zooplankton                 
1071,Goby                  ,Carnivorous micro-zooplankton                
1072,Goby                  ,Carnivorous micro-zooplankton                
1073,Goby                  ,Macroplanktonic carnivores I                 
1074,Goby                  ,Large omnivorous micro-zooplankton           
1075,Goby                  ,Large omnivorous micro-zooplankton           
1076,Goby                  ,Large carnivorous micro-zooplankton          
1077,Goby                  ,Shallow infaunal deposit feeders I           
1078,Goby                  ,Shallow infaunal suspension feeders          
1079,Goby                  ,Shallow infaunal soft substrate           
1080,Goby                  ,Epifaunal attached hard substrate   
1081,Goby                  ,Epifaunal attached soft substrate   
1082,Goby                  ,Carnivorous ophiuroids
1083,Anchovy               ,Phytoplankton         
1084,Anchovy               ,Herbivorous micro-zooplankton                
1085,Anchovy               ,Omnivorous micro-zooplankton                 
1086,Anchovy               ,Carnivorous micro-zooplankton                
1087,Anchovy               ,Carnivorous micro-zooplankton                
1088,Anchovy               ,Macroplanktonic carnivores I                 
1089,Anchovy               ,Large omnivorous micro-zooplankton           
1090,Anchovy               ,Large omnivorous micro-zooplankton           
1091,Anchovy               ,Large carnivorous micro-zooplankton          
1092,Porcupinefish I       ,Epifaunal bivalve carnivores II              
1093,Porcupinefish I       ,Detritivorous gastropods I                   
1094,Porcupinefish I       ,Epiphyte grazer I     
1095,Porcupinefish I       ,Echinoid carnivores I 
1096,Porcupinefish I       ,Herbivorous gastropods IV                    
1097,Porcupinefish I       ,Coral macrocrustacean V                      
1098,Slippery dick         ,Epifaunal bivalve carnivores II              
1099,Slippery dick         ,Detritivorous gastropods I                   
1100,Slippery dick         ,Epiphyte grazer I     
1101,Slippery dick         ,Echinoid carnivores I 
1102,Slippery dick         ,Herbivorous gastropods IV                    
1103,Slippery dick         ,Shallow infaunal deposit feeders I           
1104,Slippery dick         ,Deep infaunal soft substrate         
1105,Slippery dick         ,Shallow infaunal suspension feeders          
1106,Slippery dick         ,Shallow infaunal soft substrate           
1107,Slippery dick         ,Epifaunal attached hard substrate   
1108,Slippery dick         ,Epifaunal attached soft substrate   
1109,Slippery dick         ,Epifaunal free hard substrate       
1110,Slippery dick         ,Infaunal hard substrate            
1111,Slippery dick         ,Epifaunal free soft substrate       
1112,Slippery dick         ,Deposit feeders II    
1113,Slippery dick         ,Stomatopods I         
1114,Slippery dick         ,Cleaner crustacea I   
1115,Slippery dick         ,Omnivorous crustacea II                      
1116,Slippery dick         ,Omnivorous crustacea III                     
1117,Slippery dick         ,Carnivorous crustacea I                      
1118,Slippery dick         ,Carnivorous crustacea II                     
1119,Slippery dick         ,Omnivorous crustacea IV                      
1120,Slippery dick         ,Herbivorous crustacea IV                     
1121,Slippery dick         ,Herbivorous crustacea V                      
1122,Slippery dick         ,Herbivorous crustacea VI                     
1123,Slippery dick         ,Omnivorous crustacea V
1124,Slippery dick         ,Carnivorous crustacea III                    
1125,Slippery dick         ,Omnivorous crustacea VI                      
1126,Slippery dick         ,Amphiroa crustacea I  
1127,Slippery dick         ,Amphiroa crustacea II 
1128,Slippery dick         ,Omnivorous crustacea VII                     
1129,Slippery dick         ,Omnivorous crustacea VIII                    
1130,Slippery dick         ,Omnivorous crustacea IX                      
1131,Slippery dick         ,Omnivorous crustacea X
1132,Slippery dick         ,Omnivorous crustacea XI                      
1133,Slippery dick         ,Carnivorous crustacea IV                     
1134,Slippery dick         ,Carnivorous ophiuroids
1135,Slippery dick         ,Diadema               
1136,Slippery dick         ,Tripneustes           
1137,Slippery dick         ,Eucidaris             
1138,Slippery dick         ,Echinometra           
1139,Slippery dick         ,Lytechinus            
1140,Slippery dick         ,Deposit feeders I     
1141,Stomatopods I         ,Cleaner crustacea I   
1142,Stomatopods I         ,Omnivorous crustacea IX                      
1143,Stomatopods I         ,Omnivorous crustacea XI                      
1144,Stomatopods I         ,Deposit feeders II    
1145,Stomatopods I         ,Seabream              
1146,Stomatopods I         ,Pilotfish             
1147,Stomatopods I         ,Goby                  
1148,Squirrelfish          ,Herbivorous micro-zooplankton                
1149,Squirrelfish          ,Omnivorous micro-zooplankton                 
1150,Squirrelfish          ,Carnivorous micro-zooplankton                
1151,Squirrelfish          ,Carnivorous micro-zooplankton                
1152,Squirrelfish          ,Macroplanktonic carnivores I                 
1153,Squirrelfish          ,Large omnivorous micro-zooplankton           
1154,Squirrelfish          ,Large omnivorous micro-zooplankton           
1155,Squirrelfish          ,Large carnivorous micro-zooplankton          
1156,Squirrelfish          ,Deposit feeders II    
1157,Squirrelfish          ,Cleaner crustacea I   
1158,Squirrelfish          ,Herbivorous crustacea I                      
1159,Squirrelfish          ,Herbivorous crustacea II                     
1160,Squirrelfish          ,Herbivorous crustacea III                    
1161,Squirrelfish          ,Omnivorous crustacea II                      
1162,Squirrelfish          ,Omnivorous crustacea III                     
1163,Squirrelfish          ,Carnivorous crustacea I                      
1164,Squirrelfish          ,Carnivorous crustacea II                     
1165,Squirrelfish          ,Omnivorous crustacea IV                      
1166,Squirrelfish          ,Herbivorous crustacea IV                     
1167,Squirrelfish          ,Herbivorous crustacea V                      
1168,Squirrelfish          ,Herbivorous crustacea VI                     
1169,Squirrelfish          ,Omnivorous crustacea V
1170,Squirrelfish          ,Carnivorous crustacea III                    
1171,Squirrelfish          ,Omnivorous crustacea VI                      
1172,Squirrelfish          ,Amphiroa crustacea I  
1173,Squirrelfish          ,Amphiroa crustacea II 
1174,Squirrelfish          ,Omnivorous crustacea VII                     
1175,Squirrelfish          ,Omnivorous crustacea VIII                    
1176,Squirrelfish          ,Omnivorous crustacea IX                      
1177,Squirrelfish          ,Omnivorous crustacea X
1178,Squirrelfish          ,Omnivorous crustacea XI                      
1179,Squirrelfish          ,Carnivorous crustacea IV                     
1180,Squirrelfish          ,Herbivorous micro-zooplankton                
1181,Squirrelfish          ,Omnivorous micro-zooplankton                 
1182,Squirrelfish          ,Carnivorous micro-zooplankton                
1183,Squirrelfish          ,Carnivorous micro-zooplankton                
1184,Squirrelfish          ,Epifaunal bivalve carnivores II              
1185,Squirrelfish          ,Detritivorous gastropods I                   
1186,Squirrelfish          ,Epiphyte grazer I     
1187,Squirrelfish          ,Echinoid carnivores I 
1188,Squirrelfish          ,Herbivorous gastropods IV                    
1189,Squirrelfish          ,Deposit feeders II    
1190,Squirrelfish          ,Cleaner crustacea I   
1191,Squirrelfish          ,Herbivorous crustacea I                      
1192,Squirrelfish          ,Herbivorous crustacea II                     
1193,Squirrelfish          ,Herbivorous crustacea III                    
1194,Squirrelfish          ,Omnivorous crustacea I (=81)                 
1195,Squirrelfish          ,Omnivorous crustacea II                      
1196,Squirrelfish          ,Omnivorous crustacea III                     
1197,Squirrelfish          ,Molluscivorous crustacea III                 
1198,Squirrelfish          ,Carnivorous crustacea I                      
1199,Squirrelfish          ,Carnivorous crustacea II                     
1200,Squirrelfish          ,Omnivorous crustacea IV                      
1201,Squirrelfish          ,Herbivorous crustacea IV                     
1202,Squirrelfish          ,Herbivorous crustacea V                      
1203,Squirrelfish          ,Herbivorous crustacea VI                     
1204,Squirrelfish          ,Omnivorous crustacea V
1205,Squirrelfish          ,Carnivorous crustacea III                    
1206,Squirrelfish          ,Omnivorous crustacea VI                      
1207,Squirrelfish          ,Amphiroa crustacea I  
1208,Squirrelfish          ,Amphiroa crustacea II 
1209,Squirrelfish          ,Omnivorous crustacea VII                     
1210,Squirrelfish          ,Omnivorous crustacea VIII                    
1211,Squirrelfish          ,Omnivorous crustacea IX                      
1212,Squirrelfish          ,Omnivorous crustacea X
1213,Squirrelfish          ,Omnivorous crustacea XI                      
1214,Squirrelfish          ,Carnivorous crustacea IV                     
1215,Grunt                 ,Herbivorous micro-zooplankton                
1216,Grunt                 ,Omnivorous micro-zooplankton                 
1217,Grunt                 ,Carnivorous micro-zooplankton                
1218,Grunt                 ,Carnivorous micro-zooplankton                
1219,Grunt                 ,Macroplanktonic carnivores I                 
1220,Grunt                 ,Large omnivorous micro-zooplankton           
1221,Grunt                 ,Large omnivorous micro-zooplankton           
1222,Grunt                 ,Large carnivorous micro-zooplankton          
1223,Grunt                 ,Epifaunal bivalve carnivores II              
1224,Grunt                 ,Detritivorous gastropods I                   
1225,Grunt                 ,Epiphyte grazer I     
1226,Grunt                 ,Echinoid carnivores I 
1227,Grunt                 ,Herbivorous gastropods IV                    
1228,Grunt                 ,Shallow infaunal deposit feeders I           
1229,Grunt                 ,Deep infaunal soft substrate         
1230,Grunt                 ,Shallow infaunal suspension feeders          
1231,Grunt                 ,Shallow infaunal soft substrate           
1232,Grunt                 ,Epifaunal attached hard substrate   
1233,Grunt                 ,Epifaunal attached soft substrate   
1234,Grunt                 ,Epifaunal free hard substrate       
1235,Grunt                 ,Infaunal hard substrate            
1236,Grunt                 ,Epifaunal free soft substrate       
1237,Grunt                 ,Cleaner crustacea I   
1238,Grunt                 ,Herbivorous crustacea I                      
1239,Grunt                 ,Herbivorous crustacea II                     
1240,Grunt                 ,Herbivorous crustacea III                    
1241,Grunt                 ,Omnivorous crustacea II                      
1242,Grunt                 ,Omnivorous crustacea III                     
1243,Grunt                 ,Carnivorous crustacea I                      
1244,Grunt                 ,Carnivorous crustacea II                     
1245,Grunt                 ,Omnivorous crustacea IV                      
1246,Grunt                 ,Herbivorous crustacea IV                     
1247,Grunt                 ,Herbivorous crustacea V                      
1248,Grunt                 ,Herbivorous crustacea VI                     
1249,Grunt                 ,Omnivorous crustacea V
1250,Grunt                 ,Carnivorous crustacea III                    
1251,Grunt                 ,Omnivorous crustacea VI                      
1252,Grunt                 ,Amphiroa crustacea I  
1253,Grunt                 ,Amphiroa crustacea II 
1254,Grunt                 ,Omnivorous crustacea VII                     
1255,Grunt                 ,Omnivorous crustacea VIII                    
1256,Grunt                 ,Omnivorous crustacea IX                      
1257,Grunt                 ,Omnivorous crustacea X
1258,Grunt                 ,Omnivorous crustacea XI                      
1259,Grunt                 ,Carnivorous crustacea IV                     
1260,Grunt                 ,Macroplanktonic herbivores I                 
1261,Squirrelfish          ,Herbivorous micro-zooplankton                
1262,Squirrelfish          ,Omnivorous micro-zooplankton                 
1263,Squirrelfish          ,Carnivorous micro-zooplankton                
1264,Squirrelfish          ,Carnivorous micro-zooplankton                
1265,Squirrelfish          ,Macroplanktonic carnivores I                 
1266,Squirrelfish          ,Large omnivorous micro-zooplankton           
1267,Squirrelfish          ,Large omnivorous micro-zooplankton           
1268,Squirrelfish          ,Large carnivorous micro-zooplankton          
1269,Squirrelfish          ,Cleaner crustacea I   
1270,Squirrelfish          ,Omnivorous crustacea IX                      
1271,Squirrelfish          ,Omnivorous crustacea XI                      
1272,Squirrelfish          ,Herbivorous crustacea I                      
1273,Squirrelfish          ,Herbivorous crustacea II                     
1274,Squirrelfish          ,Herbivorous crustacea III                    
1275,Squirrelfish          ,Omnivorous crustacea II                      
1276,Squirrelfish          ,Omnivorous crustacea III                     
1277,Squirrelfish          ,Carnivorous crustacea I                      
1278,Squirrelfish          ,Carnivorous crustacea II                     
1279,Squirrelfish          ,Omnivorous crustacea IV                      
1280,Squirrelfish          ,Herbivorous crustacea IV                     
1281,Squirrelfish          ,Herbivorous crustacea V                      
1282,Squirrelfish          ,Herbivorous crustacea VI                     
1283,Squirrelfish          ,Omnivorous crustacea V
1284,Squirrelfish          ,Carnivorous crustacea III                    
1285,Squirrelfish          ,Omnivorous crustacea VI                      
1286,Squirrelfish          ,Amphiroa crustacea I  
1287,Squirrelfish          ,Amphiroa crustacea II 
1288,Squirrelfish          ,Omnivorous crustacea VII                     
1289,Squirrelfish          ,Omnivorous crustacea VIII                    
1290,Squirrelfish          ,Omnivorous crustacea IX                      
1291,Squirrelfish          ,Omnivorous crustacea X
1292,Squirrelfish          ,Omnivorous crustacea XI                      
1293,Squirrelfish          ,Carnivorous crustacea IV                     
1294,Grunt                 ,Herbivorous micro-zooplankton                
1295,Grunt                 ,Omnivorous micro-zooplankton                 
1296,Grunt                 ,Carnivorous micro-zooplankton                
1297,Grunt                 ,Carnivorous micro-zooplankton                
1298,Grunt                 ,Macroplanktonic carnivores I                 
1299,Grunt                 ,Large omnivorous micro-zooplankton           
1300,Grunt                 ,Large omnivorous micro-zooplankton           
1301,Grunt                 ,Large carnivorous micro-zooplankton          
1302,Grunt                 ,Shallow infaunal deposit feeders I           
1303,Grunt                 ,Deep infaunal soft substrate         
1304,Grunt                 ,Shallow infaunal suspension feeders          
1305,Grunt                 ,Shallow infaunal soft substrate           
1306,Grunt                 ,Epifaunal attached hard substrate   
1307,Grunt                 ,Epifaunal attached soft substrate   
1308,Grunt                 ,Epifaunal free hard substrate       
1309,Grunt                 ,Infaunal hard substrate            
1310,Grunt                 ,Epifaunal free soft substrate       
1311,Grunt                 ,Epifaunal bivalve carnivores II              
1312,Grunt                 ,Detritivorous gastropods I                   
1313,Grunt                 ,Epiphyte grazer I     
1314,Grunt                 ,Echinoid carnivores I 
1315,Grunt                 ,Herbivorous gastropods IV                    
1316,Grunt                 ,Deposit feeders II    
1317,Grunt                 ,Stomatopods I         
1318,Grunt                 ,Cleaner crustacea I   
1319,Grunt                 ,Herbivorous crustacea I                      
1320,Grunt                 ,Herbivorous crustacea II                     
1321,Grunt                 ,Herbivorous crustacea III                    
1322,Grunt                 ,Omnivorous crustacea II                      
1323,Grunt                 ,Omnivorous crustacea III                     
1324,Grunt                 ,Carnivorous crustacea I                      
1325,Grunt                 ,Carnivorous crustacea II                     
1326,Grunt                 ,Omnivorous crustacea IV                      
1327,Grunt                 ,Herbivorous crustacea IV                     
1328,Grunt                 ,Herbivorous crustacea V                      
1329,Grunt                 ,Herbivorous crustacea VI                     
1330,Grunt                 ,Omnivorous crustacea V
1331,Grunt                 ,Carnivorous crustacea III                    
1332,Grunt                 ,Omnivorous crustacea VI                      
1333,Grunt                 ,Amphiroa crustacea I  
1334,Grunt                 ,Amphiroa crustacea II 
1335,Grunt                 ,Omnivorous crustacea VII                     
1336,Grunt                 ,Omnivorous crustacea VIII                    
1337,Grunt                 ,Omnivorous crustacea IX                      
1338,Grunt                 ,Omnivorous crustacea X
1339,Grunt                 ,Omnivorous crustacea XI                      
1340,Grunt                 ,Carnivorous crustacea IV                     
1341,Grunt                 ,Macroplanktonic herbivores I                 
1342,Sharptail eel         ,Stomatopods I         
1343,Sharptail eel         ,Herbivorous crustacea I                      
1344,Sharptail eel         ,Herbivorous crustacea II                     
1345,Sharptail eel         ,Herbivorous crustacea III                    
1346,Sharptail eel         ,Omnivorous crustacea II                      
1347,Sharptail eel         ,Omnivorous crustacea III                     
1348,Sharptail eel         ,Carnivorous crustacea I                      
1349,Sharptail eel         ,Carnivorous crustacea II                     
1350,Sharptail eel         ,Omnivorous crustacea IV                      
1351,Sharptail eel         ,Herbivorous crustacea IV                     
1352,Sharptail eel         ,Herbivorous crustacea V                      
1353,Sharptail eel         ,Herbivorous crustacea VI                     
1354,Sharptail eel         ,Omnivorous crustacea V
1355,Sharptail eel         ,Carnivorous crustacea III                    
1356,Sharptail eel         ,Omnivorous crustacea VI                      
1357,Sharptail eel         ,Amphiroa crustacea I  
1358,Sharptail eel         ,Amphiroa crustacea II 
1359,Sharptail eel         ,Omnivorous crustacea VII                     
1360,Sharptail eel         ,Omnivorous crustacea VIII                    
1361,Sharptail eel         ,Omnivorous crustacea IX                      
1362,Sharptail eel         ,Omnivorous crustacea X
1363,Sharptail eel         ,Omnivorous crustacea XI                      
1364,Sharptail eel         ,Carnivorous crustacea IV                     
1365,Sharptail eel         ,Diadema               
1366,Sharptail eel         ,Tripneustes           
1367,Sharptail eel         ,Eucidaris             
1368,Sharptail eel         ,Echinometra           
1369,Sharptail eel         ,Lytechinus            
1370,Squirrelfish          ,Cleaner crustacea I   
1371,Squirrelfish          ,Omnivorous crustacea IX                      
1372,Squirrelfish          ,Omnivorous crustacea X
1373,Squirrelfish          ,Omnivorous crustacea I (=81)                 
1374,Squirrelfish          ,Molluscivorous crustacea III                 
1375,Squirrelfish          ,Herbivorous crustacea I                      
1376,Squirrelfish          ,Herbivorous crustacea II                     
1377,Squirrelfish          ,Herbivorous crustacea III                    
1378,Squirrelfish          ,Omnivorous crustacea II                      
1379,Squirrelfish          ,Omnivorous crustacea III                     
1380,Grunt                 ,Epifaunal bivalve carnivores II              
1381,Grunt                 ,Detritivorous gastropods I                   
1382,Grunt                 ,Epiphyte grazer I     
1383,Grunt                 ,Echinoid carnivores I 
1384,Grunt                 ,Herbivorous gastropods IV                    
1385,Grunt                 ,Deposit feeders II    
1386,Grunt                 ,Cleaner crustacea I   
1387,Grunt                 ,Omnivorous crustacea IX                      
1388,Grunt                 ,Omnivorous crustacea XI                      
1389,Grunt                 ,Herbivorous crustacea I                      
1390,Grunt                 ,Herbivorous crustacea II                     
1391,Grunt                 ,Herbivorous crustacea III                    
1392,Grunt                 ,Omnivorous crustacea I (=81)                 
1393,Grunt                 ,Omnivorous crustacea II                      
1394,Grunt                 ,Omnivorous crustacea III                     
1395,Grunt                 ,Molluscivorous crustacea III                 
1396,Grunt                 ,Carnivorous crustacea I                      
1397,Grunt                 ,Carnivorous crustacea II                     
1398,Grunt                 ,Omnivorous crustacea IV                      
1399,Grunt                 ,Herbivorous crustacea IV                     
1400,Grunt                 ,Herbivorous crustacea V                      
1401,Grunt                 ,Herbivorous crustacea VI                     
1402,Grunt                 ,Carnivorous ophiuroids
1403,Grunt                 ,Diadema               
1404,Grunt                 ,Tripneustes           
1405,Grunt                 ,Eucidaris             
1406,Grunt                 ,Echinometra           
1407,Grunt                 ,Lytechinus            
1408,Grunt                 ,Deposit feeders I     
1409,Grunt                 ,Macroplanktonic herbivores I                 
1410,Wrasse                ,Epifaunal bivalve carnivores II              
1411,Wrasse                ,Detritivorous gastropods I                   
1412,Wrasse                ,Epiphyte grazer I     
1413,Wrasse                ,Echinoid carnivores I 
1414,Wrasse                ,Herbivorous gastropods IV                    
1415,Wrasse                ,Shallow infaunal deposit feeders I           
1416,Wrasse                ,Deep infaunal soft substrate         
1417,Wrasse                ,Shallow infaunal suspension feeders          
1418,Wrasse                ,Shallow infaunal soft substrate           
1419,Wrasse                ,Epifaunal attached hard substrate   
1420,Wrasse                ,Epifaunal attached soft substrate   
1421,Wrasse                ,Epifaunal free hard substrate       
1422,Wrasse                ,Infaunal hard substrate            
1423,Wrasse                ,Epifaunal free soft substrate       
1424,Wrasse                ,Deposit feeders II    
1425,Wrasse                ,Herbivorous crustacea I                      
1426,Wrasse                ,Herbivorous crustacea II                     
1427,Wrasse                ,Herbivorous crustacea III                    
1428,Wrasse                ,Omnivorous crustacea II                      
1429,Wrasse                ,Omnivorous crustacea III                     
1430,Wrasse                ,Carnivorous ophiuroids
1431,Wrasse                ,Holothurian detritivores                     
1432,Wrasse                ,Diadema               
1433,Wrasse                ,Tripneustes           
1434,Wrasse                ,Eucidaris             
1435,Wrasse                ,Echinometra           
1436,Wrasse                ,Lytechinus            
1437,Wrasse                ,Deposit feeders I     
1438,Nurse shark           ,Epifaunal attached hard substrate   
1439,Nurse shark           ,Epifaunal free hard substrate       
1440,Nurse shark           ,Spongivorous nudibranchs                     
1441,Nurse shark           ,Omnivorous gastropod  
1442,Nurse shark           ,Herbivorous gastropods I                     
1443,Nurse shark           ,Herbivorous gastropods II                    
1444,Nurse shark           ,Herbivorous gastropods III                   
1445,Nurse shark           ,Corallivorous gastropods IV                  
1446,Nurse shark           ,Epifaunal bivalve carnivores I               
1447,Nurse shark           ,Sponge-anemone carnivores I                  
1448,Nurse shark           ,Gorgonian carnivores I
1449,Nurse shark           ,Herbivorous gastropod carnivores I           
1450,Nurse shark           ,Caribbean Reef Octopus
1451,Nurse shark           ,Slender Inshore Squid 
1452,Nurse shark           ,Caribbean Reef Squid  
1453,Nurse shark           ,Omnivorous crustacea VIII                    
1454,Nurse shark           ,Omnivorous crustacea XI                      
1455,Nurse shark           ,Molluscivorous crustacea II                  
1456,Nurse shark           ,Molluscivorous crustacea III                 
1457,Nurse shark           ,Coral macrocrustacean I                      
1458,Nurse shark           ,Coral macrocrustacean II                     
1459,Nurse shark           ,Coral macrocrustacean III                    
1460,Nurse shark           ,Coral macrocrustacean IV                     
1461,Nurse shark           ,Coral macrocrustacean V                      
1462,Nurse shark           ,Coral macrocrustacean VI                     
1463,Nurse shark           ,Herbivorous crustacea V                      
1464,Nurse shark           ,Herbivorous crustacea VI                     
1465,Nurse shark           ,Omnivorous crustacea V
1466,Nurse shark           ,Carnivorous crustacea III                    
1467,Nurse shark           ,Omnivorous crustacea VI                      
1468,Nurse shark           ,Amphiroa crustacea I  
1469,Nurse shark           ,Omnivorous crustacea VII                     
1470,Nurse shark           ,Amphiroa crustacea II 
1471,Nurse shark           ,Diadema               
1472,Nurse shark           ,Tripneustes           
1473,Nurse shark           ,Eucidaris             
1474,Nurse shark           ,Echinometra           
1475,Nurse shark           ,Flounder              
1476,Caribbean Reef Octopus,Spongivorous nudibranchs                     
1477,Caribbean Reef Octopus,Omnivorous gastropod  
1478,Caribbean Reef Octopus,Herbivorous gastropods I                     
1479,Caribbean Reef Octopus,Herbivorous gastropods II                    
1480,Caribbean Reef Octopus,Herbivorous gastropods III                   
1481,Caribbean Reef Octopus,Corallivorous gastropods IV                  
1482,Caribbean Reef Octopus,Epifaunal bivalve carnivores I               
1483,Caribbean Reef Octopus,Sponge-anemone carnivores I                  
1484,Caribbean Reef Octopus,Epifaunal attached hard substrate   
1485,Caribbean Reef Octopus,Epifaunal free hard substrate       
1486,Caribbean Reef Octopus,Coral macrocrustacean I                      
1487,Caribbean Reef Octopus,Coral macrocrustacean II                     
1488,Caribbean Reef Octopus,Coral macrocrustacean III                    
1489,Caribbean Reef Octopus,Coral macrocrustacean IV                     
1490,Caribbean Reef Octopus,Coral macrocrustacean V                      
1491,Caribbean Reef Octopus,Coral macrocrustacean VI                     
1492,Caribbean Reef Octopus,Herbivorous crustacea V                      
1493,Caribbean Reef Octopus,Herbivorous crustacea VI                     
1494,Caribbean Reef Octopus,Omnivorous crustacea V
1495,Caribbean Reef Octopus,Carnivorous crustacea III                    
1496,Caribbean Reef Octopus,Omnivorous crustacea VI                      
1497,Caribbean Reef Octopus,Amphiroa crustacea I  
1498,Caribbean Reef Octopus,Omnivorous crustacea VII                     
1499,Caribbean Reef Octopus,Molluscivorous crustacea II                  
1500,Caribbean Reef Octopus,Amphiroa crustacea II 
1501,Slender Inshore Squid ,Damselfish            
1502,Slender Inshore Squid ,Blenny                
1503,Slender Inshore Squid ,Blenny                
1504,Slender Inshore Squid ,Blenny                
1505,Slender Inshore Squid ,Pilotfish             
1506,Slender Inshore Squid ,Goby                  
1507,Slender Inshore Squid ,Herring               
1508,Slender Inshore Squid ,Anchovy               
1509,Slender Inshore Squid ,Coral macrocrustacean I                      
1510,Slender Inshore Squid ,Coral macrocrustacean II                     
1511,Slender Inshore Squid ,Coral macrocrustacean III                    
1512,Slender Inshore Squid ,Coral macrocrustacean IV                     
1513,Slender Inshore Squid ,Coral macrocrustacean V                      
1514,Slender Inshore Squid ,Coral macrocrustacean VI                     
1515,Slender Inshore Squid ,Herbivorous crustacea V                      
1516,Slender Inshore Squid ,Herbivorous crustacea VI                     
1517,Slender Inshore Squid ,Omnivorous crustacea V
1518,Slender Inshore Squid ,Carnivorous crustacea III                    
1519,Slender Inshore Squid ,Omnivorous crustacea VI                      
1520,Slender Inshore Squid ,Amphiroa crustacea I  
1521,Slender Inshore Squid ,Omnivorous crustacea VII                     
1522,Slender Inshore Squid ,Omnivorous crustacea VIII                    
1523,Slender Inshore Squid ,Omnivorous crustacea XI                      
1524,Caribbean Reef Squid  ,Damselfish            
1525,Caribbean Reef Squid  ,Blenny                
1526,Caribbean Reef Squid  ,Blenny                
1527,Caribbean Reef Squid  ,Pilotfish             
1528,Caribbean Reef Squid  ,Goby                  
1529,Caribbean Reef Squid  ,Herring               
1530,Caribbean Reef Squid  ,Anchovy               
1531,Caribbean Reef Squid  ,Seabream              
1532,Caribbean Reef Squid  ,Seabream              
1533,Caribbean Reef Squid  ,Slippery dick         
1534,Caribbean Reef Squid  ,Wrasse                
1535,Caribbean Reef Squid  ,Macroplanktonic herbivores I                 
1536,Common Octopus        ,Epifaunal bivalve carnivores II              
