Prey,Predator
 Detritivorous gastropods I                  , Molluscivorous crustacea III                 
 Molluscivores II                       , Molluscivorous crustacea III                 
 Molluscivores III                      , Molluscivorous crustacea III                 
 Epiphyte grazer I                      , Molluscivorous crustacea III                 
 Shallow infaunal deposit feeders I              , Carnivorous crustacea I                   
 Shallow infaunal suspension feeders with chemosymbionts   , Carnivorous crustacea I                   
 Shallow infaunal soft substrate suspension feeder     , Carnivorous crustacea I                   
 Epifaunal attached soft substrate suspension feeder , Carnivorous crustacea I                   
 Epifaunal free soft substrate suspension feeder   , Carnivorous crustacea I                   
 Herbivorous gastropods IV                  , Carnivorous crustacea I                   
 Echinoid carnivores I                    , Carnivorous crustacea I                   
 Epifaunal bivalve carnivores I                , Carnivorous crustacea I                   
 Epifaunal bivalve carnivores II               , Carnivorous crustacea I                   
 Detritivorous gastropods I                  , Carnivorous crustacea I                   
 Molluscivores II                       , Carnivorous crustacea I                   
 Molluscivores III                      , Carnivorous crustacea I                   
 Epiphyte grazer I                      , Carnivorous crustacea I                   
 Omnivorous crustacea III                   , Carnivorous crustacea I                   
 Herbivorous crustacea IV                   , Carnivorous crustacea I                   
 Epibenthic sponges                      , Carnivorous crustacea II                   
 Deposit feeders II                      , Carnivorous crustacea II                   
 Holothurian detritivores                   , Carnivorous crustacea II                   
 Shallow infaunal deposit feeders I              , Carnivorous crustacea II                   
 Shallow infaunal suspension feeders with chemosymbionts   , Carnivorous crustacea II                   
 Shallow infaunal soft substrate suspension feeder     , Carnivorous crustacea II                   
 Epifaunal attached soft substrate suspension feeder , Carnivorous crustacea II                   
 Epifaunal free soft substrate suspension feeder   , Carnivorous crustacea II                   
 Herbivorous gastropods IV                  , Carnivorous crustacea II                   
 Echinoid carnivores I                    , Carnivorous crustacea II                   
 Epifaunal bivalve carnivores I                , Carnivorous crustacea II                   
 Epifaunal bivalve carnivores II               , Carnivorous crustacea II                   
 Detritivorous gastropods I                  , Carnivorous crustacea II                   
 Molluscivores II                       , Carnivorous crustacea II                   
 Molluscivores III                      , Carnivorous crustacea II                   
 Epiphyte grazer I                      , Carnivorous crustacea II                   
 Epibenthic sponges                      , Omnivorous crustacea IV                   
 Deposit feeders II                      , Omnivorous crustacea IV                   
 Holothurian detritivores                   , Omnivorous crustacea IV                   
 Shallow infaunal deposit feeders I              , Omnivorous crustacea IV                   
 Shallow infaunal suspension feeders with chemosymbionts   , Omnivorous crustacea IV                   
 Shallow infaunal soft substrate suspension feeder     , Omnivorous crustacea IV                   
 Epifaunal attached soft substrate suspension feeder , Omnivorous crustacea IV                   
 Epifaunal free soft substrate suspension feeder   , Omnivorous crustacea IV                   
 Herbivorous gastropods IV                  , Omnivorous crustacea IV                   
 Echinoid carnivores I                    , Omnivorous crustacea IV                   
 Epifaunal bivalve carnivores I                , Omnivorous crustacea IV                   
 Epifaunal bivalve carnivores II               , Omnivorous crustacea IV                   
 Detritivorous gastropods I                  , Omnivorous crustacea IV                   
 Molluscivores II                       , Omnivorous crustacea IV                   
 Molluscivores III                      , Omnivorous crustacea IV                   
 Epiphyte grazer I                      , Omnivorous crustacea IV                   
 Filamentous macroalgae                    , Omnivorous crustacea IV                   
 Sheet macroalgae                       , Omnivorous crustacea IV                   
 Coarsely branched macroalgae                 , Omnivorous crustacea IV                   
 Jointed calcareous macroalgae                , Omnivorous crustacea IV                   
 Thick leathery macroalgae                  , Omnivorous crustacea IV                   
 Crustose coralline algae                   , Omnivorous crustacea IV                   
 Filamentous macroalgae                    , Herbivorous crustacea IV                   
 Sheet macroalgae                       , Herbivorous crustacea IV                   
 Coarsely branched macroalgae                 , Herbivorous crustacea IV                   
 Jointed calcareous macroalgae                , Herbivorous crustacea IV                   
 Thick leathery macroalgae                  , Herbivorous crustacea IV                   
 Crustose coralline algae                   , Herbivorous crustacea IV                   
 Micro-detritivores                      , Herbivorous crustacea IV                   
 Phytoplankton                        , Herbivorous crustacea V                   
 Micro-detritivores                      , Herbivorous crustacea V                   
 Filamentous macroalgae                    , Herbivorous crustacea VI                   
 Sheet macroalgae                       , Herbivorous crustacea VI                   
 Coarsely branched macroalgae                 , Herbivorous crustacea VI                   
 Jointed calcareous macroalgae                , Herbivorous crustacea VI                   
 Thick leathery macroalgae                  , Herbivorous crustacea VI                   
 Crustose coralline algae                   , Herbivorous crustacea VI                   
 Epiphytic autotrophs                     , Herbivorous crustacea VI                   
 Filamentous macroalgae                    , Omnivorous crustacea V                    
 Sheet macroalgae                       , Omnivorous crustacea V                    
 Coarsely branched macroalgae                 , Omnivorous crustacea V                    
 Jointed calcareous macroalgae                , Omnivorous crustacea V                    
 Thick leathery macroalgae                  , Omnivorous crustacea V                    
 Crustose coralline algae                   , Omnivorous crustacea V                    
 Corallivorous polychaetes                  , Omnivorous crustacea V                    
 Diadema                           , Omnivorous crustacea V                    
 Tripneustes                         , Omnivorous crustacea V                    
 Eucidaris                          , Omnivorous crustacea V                    
 Echinometra                         , Omnivorous crustacea V                    
 Lytechinus                          , Omnivorous crustacea V                    
 Deposit feeders I                      , Omnivorous crustacea V                    
 Shallow infaunal deposit feeders I              , Omnivorous crustacea V                    
 Shallow infaunal suspension feeders with chemosymbionts   , Omnivorous crustacea V                    
 Shallow infaunal soft substrate suspension feeder     , Omnivorous crustacea V                    
 Epifaunal attached hard substrate suspension feeder , Omnivorous crustacea V                    
 Epifaunal attached soft substrate suspension feeder , Omnivorous crustacea V                    
 Epifaunal free soft substrate suspension feeder   , Omnivorous crustacea V                    
 Deposit feeders II                      , Omnivorous crustacea V                    
 Holothurian detritivores                   , Omnivorous crustacea V                    
 Carnivorous ophiuroids                    , Omnivorous crustacea V                    
 Micro-detritivores                      , Omnivorous crustacea V                    
 Deposit feeders II                      , Carnivorous crustacea III                  
 Endolithic polychaetes                    , Carnivorous crustacea III                  
 Filamentous macroalgae                    , Omnivorous crustacea VI                   
 Sheet macroalgae                       , Omnivorous crustacea VI                   
 Coarsely branched macroalgae                 , Omnivorous crustacea VI                   
 Jointed calcareous macroalgae                , Omnivorous crustacea VI                   
 Thick leathery macroalgae                  , Omnivorous crustacea VI                   
 Crustose coralline algae                   , Omnivorous crustacea VI                   
 Epibenthic sponges                      , Omnivorous crustacea VI                   
 Corallivorous polychaetes                  , Omnivorous crustacea VI                   
 Shallow infaunal deposit feeders I              , Omnivorous crustacea VI                   
 Shallow infaunal suspension feeders with chemosymbionts   , Omnivorous crustacea VI                   
 Shallow infaunal soft substrate suspension feeder     , Omnivorous crustacea VI                   
 Epifaunal attached hard substrate suspension feeder , Omnivorous crustacea VI                   
 Epifaunal attached soft substrate suspension feeder , Omnivorous crustacea VI                   
 Epifaunal free hard substrate suspension feeder   , Omnivorous crustacea VI                   
 Epifaunal free soft substrate suspension feeder   , Omnivorous crustacea VI                   
 Spongivorous nudibranchs                   , Omnivorous crustacea VI                   
 Herbivorous gastropods I                   , Omnivorous crustacea VI                   
 Herbivorous gastropods II                  , Omnivorous crustacea VI                   
 Herbivorous gastropods III                  , Omnivorous crustacea VI                   
 Herbivorous gastropods IV                  , Omnivorous crustacea VI                   
 Corallivorous gastropods IV                 , Omnivorous crustacea VI                   
 Gorgonian carnivores I                    , Omnivorous crustacea VI                   
 Echinoid carnivores I                    , Omnivorous crustacea VI                   
