Prey,Predator
Oncorhynchus nerka,Lamna ditropis
Oncorhynchus tshawytscha,Lamna ditropis
Alepisaurus ferox,Lamna ditropis
Theragra chalcogramma,Lamna ditropis
Pleurogrammus monopterygius,Lamna ditropis
Anoplopoma fimbria,Lamna ditropis
Eumicrotremus,Lamna ditropis
Hippoglossus stenolepis,Lamna ditropis
Clupea pallasii,Lamna ditropis
Berryteuthis anonychus,Lamna ditropis
Gonatopsis,Lamna ditropis
Thaliacea,Prionace glauca
Prionace glauca,Prionace glauca
Squalus acanthias,Prionace glauca
Stomiidae,Prionace glauca
Alepisaurus ferox,Prionace glauca
Lampanyctus jordani,Prionace glauca
Stenobrachius leucopsarus,Prionace glauca
Porichthys,Prionace glauca
Merluccius productus,Prionace glauca
Citharichthys,Prionace glauca
Octocorallia,Prionace glauca
Clupea pallasii,Prionace glauca
Gonatopsis,Prionace glauca
Moroteuthis,Prionace glauca
Idoteidae,Prionace glauca
Gammaridea,Prionace glauca
Hyperiidea,Prionace glauca
Pandalidae,Prionace glauca
Cancer,Prionace glauca
Squalus acanthias,Somniosus pacificus
Gadus macrocephalus,Somniosus pacificus
Theragra chalcogramma,Somniosus pacificus
Albatrossia pectoralis,Somniosus pacificus
Anoplopoma fimbria,Somniosus pacificus
Hippoglossoides elassodon,Somniosus pacificus
Hippoglossus stenolepis,Somniosus pacificus
Eschrichtius robustus,Somniosus pacificus
Phoca vitulina,Somniosus pacificus
Enteroctopus dofleini,Somniosus pacificus
Reinhardtius stomias,Somniosus pacificus
Fusitriton,Somniosus pacificus
Berryteuthis magister,Somniosus pacificus
Moroteuthis,Somniosus pacificus
Crangonidae,Somniosus pacificus
Paguridae,Somniosus pacificus
Ophiuroidea,Squalus acanthias
Thaliacea,Squalus acanthias
Gadus macrocephalus,Squalus acanthias
Theragra chalcogramma,Squalus acanthias
Merluccius productus,Squalus acanthias
Ophiodon elongatus,Squalus acanthias
Anarhichas,Squalus acanthias
Ammodytes hexapterus,Squalus acanthias
Citharichthys,Squalus acanthias
Pleuronectes,Squalus acanthias
Parophrys vetulus,Squalus acanthias
Psettichthys melanostictus,Squalus acanthias
Hippoglossus stenolepis,Squalus acanthias
Glyptocephalus zachirus,Squalus acanthias
Hydrozoa,Squalus acanthias
Clupea pallasii,Squalus acanthias
Enteroctopus dofleini,Squalus acanthias
Nemertea,Squalus acanthias
Reinhardtius stomias,Squalus acanthias
Neocalanus cristatus,Squalus acanthias
Neocalanus plumchrus,Squalus acanthias
Limacina helicina,Squalus acanthias
Pectinidae,Squalus acanthias
Mysida,Squalus acanthias
Gammaridea,Squalus acanthias
Hyperiidea,Squalus acanthias
Euphausia,Squalus acanthias
Thysanoessa spinifera,Squalus acanthias
Pandalidae,Squalus acanthias
Paguridae,Squalus acanthias
Cancer,Squalus acanthias
Pinnotheridae,Squalus acanthias
Gadus macrocephalus,Raja binoculata
Theragra chalcogramma,Raja binoculata
Pleurogrammus monopterygius,Raja binoculata
